Player_name
Jannik Sinner
Shintaro Mochizuki
Hubert Hurkacz
Jan-Lennard Struff
Felix Auger-Aliassime
Alejandro Davidovich Fokina
Roman Safiullin
Novak Djokovic
Zachary Svajda
Karen Khachanov
Flavio Cobolli
Grigor Dimitrov
Matteo Berrettini
Zizou Bergs
Arthur Fery
Taylor Fritz
Lorenzo Sonego
Frances Tiafoe
Alexander Bublik
Jiri Lehecka
Jaume Munar
Marcos Giron
Alexander Zverev
