iter	Logloss
0	0.6911839035
1	0.6893324952
2	0.6871783911
3	0.6855608834
4	0.6836515613
5	0.6821018143
6	0.6807434763
7	0.6794582765
8	0.6780066858
9	0.6766689444
10	0.6757896696
11	0.6746734476
12	0.6735202944
13	0.672157152
14	0.6711215212
15	0.6700292242
16	0.6691767752
17	0.668201097
18	0.6671798615
19	0.6660390018
20	0.6654303944
21	0.6645288819
22	0.6638077973
23	0.6631593198
24	0.6620665119
25	0.6612514505
26	0.6604870432
27	0.6596795564
28	0.6589211379
29	0.6580424207
30	0.6574131758
31	0.6568965775
32	0.6563091584
33	0.6555862986
34	0.6548190278
35	0.6541677611
36	0.6536653861
37	0.6530032382
38	0.6525742024
39	0.6518244456
40	0.6514145047
41	0.6509330479
42	0.6502389643
43	0.6498004512
44	0.6493414267
45	0.6488858161
46	0.6483322343
47	0.6476819317
48	0.6470273944
49	0.6463941976
50	0.6458680372
51	0.6454764772
52	0.6449200374
53	0.6445640975
54	0.6440607474
55	0.6437526154
56	0.6433956612
57	0.6428175279
58	0.6425823472
59	0.6422492645
60	0.6417534893
61	0.6411977387
62	0.6406902778
63	0.6401836808
64	0.6398113229
65	0.6393790528
66	0.6389767027
67	0.6386297841
68	0.6381210375
69	0.6376155412
70	0.6369269954
71	0.6366395679
72	0.6360581584
73	0.6356626288
74	0.6351435951
75	0.6346624905
76	0.6344012734
77	0.6339688226
78	0.6335079069
79	0.6331799674
80	0.6329271289
81	0.6323643641
82	0.6320177998
83	0.6315307669
84	0.6310500087
85	0.630494083
86	0.63017473
87	0.6298981675
88	0.6293654196
89	0.6290961816
90	0.6285300459
91	0.6283033625
92	0.6278602223
93	0.6274312872
94	0.627001695
95	0.6266312692
96	0.6261441256
97	0.625820147
98	0.6255105549
99	0.6253198595
100	0.6249693628
101	0.6246794811
102	0.6243379975
103	0.6240236504
104	0.6237025963
105	0.6232528423
106	0.6230819425
107	0.6227968103
108	0.6224822287
109	0.62206743
110	0.6217184883
111	0.6214789359
112	0.6211786276
113	0.6208275267
114	0.6203871637
115	0.6200681014
116	0.619752263
117	0.6193543707
118	0.6191870778
119	0.6190102255
120	0.6187327422
121	0.61839276
122	0.6180293058
123	0.6176629745
124	0.6173736126
125	0.6169872804
126	0.6165393781
127	0.6161285856
128	0.6159703791
129	0.6157831747
130	0.6155033878
131	0.6152765394
132	0.6148492147
133	0.6146041717
134	0.6143664559
135	0.6140811748
136	0.6136413733
137	0.6134274036
138	0.613020901
139	0.6126979625
140	0.6124371515
141	0.6119590052
142	0.6113387352
143	0.6109403911
144	0.6106147872
145	0.6104769175
146	0.6101987051
147	0.6099112158
148	0.6096845325
149	0.6094633323
150	0.6092069999
151	0.6089060846
152	0.6087090058
153	0.6083841698
154	0.6078632884
155	0.6073816695
156	0.6071200209
157	0.6068582641
158	0.6064764857
159	0.6059271756
160	0.6055621161
161	0.6052540354
162	0.604848071
163	0.6045464246
164	0.6041250553
165	0.6037110351
166	0.6034908903
167	0.6030123932
168	0.6024525367
169	0.6020511209
170	0.6016606334
171	0.6014409202
172	0.6010866906
173	0.6008498791
174	0.6005625246
175	0.6003615853
176	0.5999884031
177	0.5996730148
178	0.5992627848
179	0.5987842875
180	0.5985037606
181	0.5982290518
182	0.5977268885
183	0.5974388141
184	0.5972001725
185	0.596835298
186	0.5966468189
187	0.5962871497
188	0.5960783499
189	0.5959401149
